surface,method,path,auth_state,expected_roles,parameters_or_body,csrf_or_headers,content_boundary,owasp,status,source,notes
API,POST,/api/v1/onboarding/skip-recovery-codes,Onboarding session,Onboarding-only user,None,Session CSRF/origin,No transcript content,A07,Repo-evidenced,docs/api.md docs/auth.md,Completes onboarding without codes.
API,POST,/api/v1/teams,Full system admin,System admin,team fields,Session CSRF/origin,Metadata only,A01 A05 A09,Repo-evidenced,docs/api.md,System-admin-only.
API,GET,/api/v1/teams,Full system admin,System admin,None,Session cookie,Metadata only,A01 A09,Repo-evidenced,docs/api.md,System-admin-only.
API,POST,/api/v1/users,Full manager,System admin/team leader,user fields temporary password,Session CSRF/origin,Metadata/password material boundary,A01 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Leader cannot create system-admin or cross-team users.
API,GET,/api/v1/users,Full manager,System admin/team leader,filters if any,Session cookie,Metadata only,A01 A09,Repo-evidenced,docs/api.md docs/auth.md,Leader sees own-team users only.
API,POST,/api/v1/users/{user_id}/suspend,Full manager,System admin/team leader,user_id,Session CSRF/origin,Metadata only,A01 A07 A09,Repo-evidenced,docs/api.md docs/security.md,Revokes sessions/trusted devices.
API,POST,/api/v1/users/{user_id}/reactivate,Full manager,System admin/team leader,user_id,Session CSRF/origin,Metadata only,A01 A07 A09,Repo-evidenced,docs/api.md docs/security.md,Forces onboarding/MFA reset.
API,POST,/api/v1/users/{user_id}/send-activation,Full manager,System admin/team leader,user_id,Session CSRF/origin,Token not returned,A01 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Mail-dependent.
API,POST,/api/v1/users/{user_id}/send-password-reset,Full manager,System admin/team leader,user_id,Session CSRF/origin,Token not returned,A01 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Mail-dependent.
API,POST,/api/v1/users/{user_id}/break-glass-password-reset,Full manager + TOTP,System admin/team leader,user_id TOTP reason confirmation,Session CSRF/origin,Temporary password one-time display,A01 A02 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Requires explicit confirmation and audit metadata.
API,POST,/api/v1/users/{user_id}/reset-mfa,Full manager,System admin/team leader,user_id,Session CSRF/origin,No TOTP secret reveal,A01 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Clears MFA/recovery-code state.
API,POST,/api/v1/users/{user_id}/break-glass-account-recovery,Full manager + TOTP,System admin/team leader,user_id TOTP reason confirmation,Session CSRF/origin,Temporary password one-time display,A01 A02 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Also resets MFA.
API,DELETE,/api/v1/users/{user_id},Full manager,System admin/team leader,user_id,Session CSRF/origin,Cascades user-owned content,A01 A09,Repo-evidenced,docs/api.md docs/security.md,Immediate hard delete; self-delete blocked.
API,POST,/api/v1/transcripts,Full session,Owner,transcript create body,Session CSRF/origin,Owner-only transcript-derived root,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Creates owner/team-scoped transcript root.
API,POST,/api/v1/transcripts/start,Full session,Owner,ingestion_mode title,Session CSRF/origin,Owner-only transcript-derived root,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Owner/team derived from session.
API,GET,/api/v1/transcripts,Full session,Owner,limit cursor,Session cookie,Owner metadata only list,A01 A09,Repo-evidenced,docs/api.md,Self-scoped list with pagination.
API,GET,/api/v1/transcripts/{transcript_id},Full session,Owner,transcript_id,Session cookie + no-store,Owner plaintext response over encrypted storage,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Non-owners should receive not-found/deny behavior per tests.
API,PATCH,/api/v1/transcripts/{transcript_id},Full session,Owner,title ingestion_mode structured context legacy fields,Session CSRF/origin + no-store,Owner-only content update,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Mode switching only blank/idle; stale Working-note guard.
API,DELETE,/api/v1/transcripts/{transcript_id},Full session,Owner,transcript_id,Session CSRF/origin,Cascades transcript-derived children,A01 A09,Repo-evidenced,docs/api.md,Immediate hard delete.
API,POST,/api/v1/transcripts/{transcript_id}/commit,Full session,Owner,transcript_id,Session CSRF/origin,Creates encrypted version,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Committed versions only on explicit save/action/blur.
API,POST,/api/v1/transcripts/{transcript_id}/finalize-live-capture,Full session,Owner,transcript_id,Session CSRF/origin,Owner-only live capture,A01 A02 A09,Repo-evidenced,docs/api.md,Valid only for live_chunked transcripts.
API,POST,/api/v1/transcripts/{transcript_id}/audio-chunks,Full session,Owner,multipart audio chunk_sequence_no declared_duration_seconds,Session CSRF/origin multipart upload,Audio/transcript-derived content,A01 A02 A03 A05 A10,Repo-evidenced,docs/api.md,Rate-limited and duration-limited; sequence-aware duplicate rejection.
API,POST,/api/v1/transcripts/{transcript_id}/audio-file,Full session,Owner,multipart audio file,Session CSRF/origin multipart upload,Audio/transcript-derived content,A01 A02 A03 A05 A10,Repo-evidenced,docs/api.md,Rate and size limits; Vault-backed retry source.
API,POST,/api/v1/transcripts/{transcript_id}/retry-audio-file,Full session,Owner,transcript_id,Session CSRF/origin,Audio retry source boundary,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Uses latest failed whole-file job retry source.
API,POST,/api/v1/transcripts/{transcript_id}/manual-pii,Full session,Owner,entity_type value occurrence_count,Session CSRF/origin,Encrypted owner PII original,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Original values owner-only.
API,DELETE,/api/v1/transcripts/{transcript_id}/manual-pii/{entity_id},Full session,Owner,transcript_id entity_id,Session CSRF/origin,Deletes owner PII row,A01 A09,Repo-evidenced,docs/api.md,Immediate hard delete of manual PII row.
API,GET,/api/v1/transcripts/{transcript_id}/working-note,Full session,Owner,transcript_id,Session cookie + no-store,Owner-only Working-note content,A01 A02 A03 A09,Repo-evidenced,docs/api.md CONTEXT.md,Working note follows transcript-root retention.
API,PATCH,/api/v1/transcripts/{transcript_id}/working-note,Full session,Owner,content expected_updated_at,Session CSRF/origin + no-store,Owner-only encrypted Working note,A01 A02 A03 A09,Repo-evidenced,docs/api.md CONTEXT.md,Optimistic concurrency.
API,DELETE,/api/v1/transcripts/{transcript_id}/working-note,Full session,Owner,expected_updated_at,Session CSRF/origin,Immediate Working-note clear,A01 A09,Repo-evidenced,docs/api.md CONTEXT.md,Does not delete transcript/generated outputs.
API,GET,/api/v1/transcripts/{transcript_id}/generated-documents,Full session,Owner,transcript_id,Session cookie + no-store,Owner-only generated content,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Returns generated-document list.
API,PATCH,/api/v1/generated-documents/{generated_document_id},Full session,Owner,edited text expected_updated_at,Session CSRF/origin + no-store,Owner-only generated content,A01 A02 A03 A09,Repo-evidenced,docs/api.md,Stale revisions return conflict.
API,GET,/api/v1/generated-documents/{generated_document_id}/redaction-debug,Local dev owner-only,Owner dev account,generated_document_id,Session cookie,Redacted debug only no originals,A01 A02 A09,Repo-evidenced,docs/api.md,Dev-only localhost seeded accounts; no original PHI values.
API,POST,/api/v1/transcripts/{transcript_id}/generate-output,Full session,Owner,template/model/options,Session CSRF/origin,Redacted provider prompt boundary,A01 A02 A03 A04 A09,Repo-evidenced,docs/api.md,Returns 202 queued; redaction fail-closed.
API,POST,/api/v1/transcripts/{transcript_id}/generate-followup,Full session,Owner,follow_up_request,Session CSRF/origin,Redacted provider prompt boundary,A01 A02 A03 A04 A09,Repo-evidenced,docs/api.md,Documented async generation route.
API,POST,/api/v1/transcripts/{transcript_id}/run-quick-action,Full session,Owner,quick_action_id context,Session CSRF/origin,Redacted provider prompt boundary,A01 A02 A03 A04 A09,Repo-evidenced,docs/api.md,Documented async quick-action route.
API,GET,/api/v1/transcribe/workspace,Full session,Owner,None,Session cookie + no-store,Owner-only workspace read model,A01 A02 A09,Repo-evidenced,docs/api.md,Owner-facing `/transcribe` payload.
API,GET,/api/v1/transcribe/workspace/stream,Full session,Owner,None,Short-lived DB session auth,Owner-only SSE read model,A01 A02 A09,Repo-evidenced,docs/api.md,SSE emits workspace events.
API,GET,/api/v1/templates/available,Full session,Normal user/team leader,scope implicit,Session cookie,Template config not transcript content,A01 A03 A08,Repo-evidenced,docs/api.md,Visible team/personal templates.
API,GET,/api/v1/templates/team,Full leader,System admin/team leader,team implicit/explicit,Session cookie,Team template config,A01 A03 A08,Repo-evidenced,docs/api.md,Leader own-team scope.
API,POST,/api/v1/templates/team,Full leader,System admin/team leader,template fields,Session CSRF/origin,Team template config,A01 A03 A08,Repo-evidenced,docs/api.md,Updates create immutable versions.
API,DELETE,/api/v1/templates/team/{template_id},Full leader,System admin/team leader,template_id,Session CSRF/origin,Team template config deletion,A01 A08,Repo-evidenced,docs/api.md,Generated outputs keep prompt snapshot.
API,GET,/api/v1/templates/personal,Full session,Owner,None,Session cookie,Personal config,A01 A03 A08,Repo-evidenced,docs/api.md,Owner-only personal templates.
API,POST,/api/v1/templates/personal,Full session,Owner,template fields,Session CSRF/origin,Personal config,A01 A03 A08,Repo-evidenced,docs/api.md,Normal user personal CRUD.
API,DELETE,/api/v1/templates/personal/{template_id},Full session,Owner,template_id,Session CSRF/origin,Personal config deletion,A01 A08,Repo-evidenced,docs/api.md,Generated outputs survive with snapshots.
API,GET,/api/v1/smart-phrases/available,Full session,Owner,None,Session cookie,Smart phrase config,A01 A03 A08,Repo-evidenced,docs/api.md,Available phrases.
API,GET,/api/v1/smart-phrases/personal,Full session,Owner,None,Session cookie,Personal smart phrase config,A01 A03 A08,Repo-evidenced,docs/api.md,Owner-only.
API,POST,/api/v1/smart-phrases/personal,Full session,Owner,trigger replacement,Session CSRF/origin,Personal smart phrase config,A01 A03 A08,Repo-evidenced,docs/api.md,Trigger uniqueness per owner.
API,PATCH,/api/v1/smart-phrases/personal/{smart_phrase_id},Full session,Owner,smart_phrase_id fields,Session CSRF/origin,Personal smart phrase config,A01 A03 A08,Repo-evidenced,docs/api.md,Owner-only update.
API,DELETE,/api/v1/smart-phrases/personal/{smart_phrase_id},Full session,Owner,smart_phrase_id,Session CSRF/origin,Personal smart phrase deletion,A01 A08,Repo-evidenced,docs/api.md,Hard delete.
API,POST,/api/v1/smart-phrases/personal/{smart_phrase_id}/used,Full session,Owner,smart_phrase_id,Session CSRF/origin,Usage metadata,A01 A09,Repo-evidenced,docs/api.md,No transcript content.
API,GET,/api/v1/stt-configs,Full admin/manager,System admin; limited leader selection paths,None,Session cookie,Provider metadata no secrets,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Provisioning is system-admin; selection is leader own-team.
API,POST,/api/v1/stt-configs/inspect,Full system admin,System admin,provider URL/token/synthetic settings,Session CSRF/origin,Provider metadata/synthetic response only,A01 A02 A05 A10,Repo-evidenced,docs/api.md,SSRF review priority; token never returned.
API,POST,/api/v1/stt-configs/drafts,Full system admin,System admin,config + credential,Session CSRF/origin,Vault-backed secret boundary,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Saves credential to Vault; returns has_secret metadata.
API,POST,/api/v1/stt-configs/{config_id}/finalize,Full system admin,System admin,config_id model/defaults,Session CSRF/origin,Provider metadata no raw secret,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Activates ready config not necessarily selection.
API,POST,/api/v1/stt-configs/{config_id}/replace-credential,Full system admin,System admin,config_id token,Session CSRF/origin,Vault-backed secret boundary,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Invalid credentials fail closed without deleting old config unexpectedly.
API,DELETE,/api/v1/stt-configs/{config_id},Full system admin,System admin,config_id,Session CSRF/origin,Provider config deletion,A01 A02 A09 A10,Repo-evidenced,docs/api.md,Best-effort Vault cleanup after DB changes per docs.
API,GET,/api/v1/stt-selection/options,Full manager,System admin/team leader,purpose optional,Session cookie,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Leader own-team options only.
API,POST,/api/v1/stt-selection,Full manager,System admin/team leader,config_id purpose,Session CSRF/origin,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Team-level active STT policy.
API,DELETE,/api/v1/stt-selection,Full manager,System admin/team leader,purpose optional,Session CSRF/origin,Provider metadata deletion,A01 A09,Repo-evidenced,docs/api.md,Clears team selection.
API,GET,/api/v1/llm-configs,Full system admin,System admin,None,Session cookie,Provider metadata no secrets,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Provisioned LLM providers.
API,POST,/api/v1/llm-configs/inspect,Full system admin,System admin,provider URL/token/synthetic settings,Session CSRF/origin,Provider metadata/synthetic discovery,A01 A02 A05 A10,Repo-evidenced,docs/api.md,SSRF/restricted adapter priority.
API,POST,/api/v1/llm-configs/drafts,Full system admin,System admin,config + credential,Session CSRF/origin,Vault-backed secret boundary,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Returns has_secret; no raw key/Vault ref.
API,POST,/api/v1/llm-configs/{config_id}/finalize,Full system admin,System admin,config_id default model,Session CSRF/origin,Provider metadata no secrets,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Ready active provider setup.
API,POST,/api/v1/llm-configs/{config_id}/replace-credential,Full system admin,System admin,config_id token,Session CSRF/origin,Vault-backed secret boundary,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Reruns discovery and clears availability.
API,DELETE,/api/v1/llm-configs/{config_id},Full system admin,System admin,config_id,Session CSRF/origin,Provider config deletion,A01 A02 A09 A10,Repo-evidenced,docs/api.md,Credential lifecycle needs failure-path tests.
API,GET,/api/v1/llm-selection/options,Full manager,System admin/team leader,None,Session cookie,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Ready active configs only.
API,POST,/api/v1/llm-selection,Full manager,System admin/team leader,config_id model restrictions,Session CSRF/origin,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Team default/allowed models.
API,DELETE,/api/v1/llm-selection,Full manager,System admin/team leader,None,Session CSRF/origin,Provider metadata deletion,A01 A09,Repo-evidenced,docs/api.md,Clears team LLM selection.
API,GET,/api/v1/hallucination-check-selection,Full system admin,System admin,None,Session cookie,Provider metadata no content,A01 A02 A04,Repo-evidenced,docs/api.md,Admin-only checker config.
API,POST,/api/v1/hallucination-check-selection,Full system admin,System admin,config_id model override,Session CSRF/origin,Provider metadata no content,A01 A02 A04,Repo-evidenced,docs/api.md,No fallback to generation LLM.
API,DELETE,/api/v1/hallucination-check-selection,Full system admin,System admin,None,Session CSRF/origin,Provider metadata deletion,A01 A09,Repo-evidenced,docs/api.md,Clears checker selection.
API,GET,/api/v1/llm-preference,Full session,Normal user,None,Session cookie,User preference metadata,A01 A09,Repo-evidenced,docs/api.md,User own preference only.
API,POST,/api/v1/llm-preference,Full session,Normal user,model choice,Session CSRF/origin,User preference metadata,A01 A09,Repo-evidenced,docs/api.md,Falls back to team default if invalid later.
API,DELETE,/api/v1/llm-preference,Full session,Normal user,None,Session CSRF/origin,User preference deletion,A01 A09,Repo-evidenced,docs/api.md,Clears own preference.
API,GET,/api/v1/app-preferences,Full session,Normal user,None,Session cookie,User workflow metadata,A01 A09,Repo-evidenced,docs/api.md,No transcript content.
API,POST,/api/v1/app-preferences,Full session,Normal user,workflow prefs,Session CSRF/origin,User workflow metadata,A01 A09,Repo-evidenced,docs/api.md,Validates visible template/action ids.
API,DELETE,/api/v1/app-preferences,Full session,Normal user,None,Session CSRF/origin,User workflow metadata deletion,A01 A09,Repo-evidenced,docs/api.md,Clears own prefs.
API,GET,/api/v1/deidentification-providers,Full system admin,System admin,None,Session cookie,Provider metadata no secrets,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Admin-managed NLP provider config.
API,POST,/api/v1/deidentification-providers/inspect,Full system admin,System admin,endpoint URL synthetic text,Session CSRF/origin,Synthetic provider response only,A01 A02 A05 A10,Repo-evidenced,docs/api.md,SSRF and raw response boundary priority.
API,POST,/api/v1/deidentification-providers,Full system admin,System admin,provider fields,Session CSRF/origin,Provider metadata/secret boundary,A01 A02 A05 A10,Repo-evidenced,docs/api.md,Remote endpoints must use HTTPS unless local/private.
API,DELETE,/api/v1/deidentification-providers/{provider_id},Full system admin,System admin,provider_id,Session CSRF/origin,Provider config deletion,A01 A09 A10,Repo-evidenced,docs/api.md,Clears active selections when needed.
API,GET,/api/v1/deidentification-provider-assignments,Full system admin,System admin,None,Session cookie,Provider assignment metadata,A01 A09,Repo-evidenced,docs/api.md,External endpoints require assignment before team selection.
API,POST,/api/v1/deidentification-provider-assignments,Full system admin,System admin,team/provider assignment,Session CSRF/origin,Provider assignment metadata,A01 A09,Repo-evidenced,docs/api.md,Admin-only.
API,DELETE,/api/v1/deidentification-provider-assignments,Full system admin,System admin,assignment id,Session CSRF/origin,Provider assignment deletion,A01 A09,Repo-evidenced,docs/api.md,Admin-only.
API,GET,/api/v1/deidentification-selection/options,Full manager,System admin/team leader,None,Session cookie,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Leader own-team assigned options.
API,POST,/api/v1/deidentification-selection,Full manager,System admin/team leader,provider_id,Session CSRF/origin,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Built-in native fallback if none valid.
API,DELETE,/api/v1/deidentification-selection,Full manager,System admin/team leader,None,Session CSRF/origin,Selection deletion,A01 A09,Repo-evidenced,docs/api.md,Clears selection.
API,GET,/api/v1/clinical-nlp-selection/options,Full manager,System admin/team leader,None,Session cookie,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,No built-in clinical fallback.
API,POST,/api/v1/clinical-nlp-selection,Full manager,System admin/team leader,provider_id,Session CSRF/origin,Provider metadata no secrets,A01 A02 A10,Repo-evidenced,docs/api.md,Selected endpoint may receive redacted transcript runtime text.
API,DELETE,/api/v1/clinical-nlp-selection,Full manager,System admin/team leader,None,Session CSRF/origin,Selection deletion,A01 A09,Repo-evidenced,docs/api.md,Clears clinical NLP selection.
